LECROYWP740Zi,47836,Waveform,
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1,
#1,3/1/2007 6:05,0,
Time,Ch1,Ch2,
Second,Value,Value,
-2.42E-08,-0.0676935,-0.0676935,
-2.42E-08,-0.0636985,-0.0636985,
-2.42E-08,-0.0589822,-0.0589822,
-2.41E-08,-0.0540439,-0.0540439,
-2.41E-08,-0.0497437,-0.0497437,
-2.41E-08,-0.0469971,-0.0469971,
-2.41E-08,-0.0464145,-0.0464145,
-2.40E-08,-0.0478571,-0.0478571,
-2.40E-08,-0.0505482,-0.0505482,
-2.40E-08,-0.0534335,-0.0534335,
-2.40E-08,-0.0556252,-0.0556252,
-2.39E-08,-0.0566795,-0.0566795,
-2.39E-08,-0.0569569,-0.0569569,
-2.39E-08,-0.0570124,-0.0570124,
-2.39E-08,-0.0573176,-0.0573176,
-2.38E-08,-0.0580944,-0.0580944,
-2.38E-08,-0.0588989,-0.0588989,
-2.38E-08,-0.0591209,-0.0591209,
-2.38E-08,-0.0580944,-0.0580944,
-2.37E-08,-0.055542,-0.055542,
-2.37E-08,-0.0517689,-0.0517689,
-2.37E-08,-0.0475519,-0.0475519,
-2.37E-08,-0.0438898,-0.0438898,
-2.36E-08,-0.0415039,-0.0415039,
-2.36E-08,-0.0407548,-0.0407548,
-2.36E-08,-0.0414207,-0.0414207,
-2.36E-08,-0.043002,-0.043002,
-2.35E-08,-0.0448886,-0.0448886,
-2.35E-08,-0.0464699,-0.0464699,
-2.35E-08,-0.0474132,-0.0474132,
-2.35E-08,-0.0474964,-0.0474964,
-2.34E-08,-0.0465809,-0.0465809,
-2.34E-08,-0.0446389,-0.0446389,
-2.34E-08,-0.0418646,-0.0418646,
-2.34E-08,-0.0386464,-0.0386464,
-2.33E-08,-0.0356223,-0.0356223,
-2.33E-08,-0.0335138,-0.0335138,
-2.33E-08,-0.0328758,-0.0328758,
-2.33E-08,-0.03393,-0.03393,
